model_id,hardware_group,model_family,alignment_status,params_b,delta_prompts_1,delta_prompts_2,phi_prompts_1,phi_prompts_2,wli_dense_prompts_1,wli_dense_prompts_2,wli_flat_prompts_1,wli_flat_prompts_2,delta_difference,dense_similarity,flat_similarity,delta_curve_similarity
ByteDance/Ouro-2.6B-Thinking,1xL40S,Other,base,2.6,-0.0016660818958544876,-0.0008383891277075062,0.0005281741969054843,0.0002198631114370131,0.5230620350859775,0.5239636238260578,0.524728116981832,0.5248020129537653,-0.0008276927681469815,0.9999482246240144,0.9998553553272868,0.47881212284335883
ByteDance/Ouro-2.6B-Thinking,A10G,Other,base,2.6,-0.0016709426390856263,-0.0006960728173356356,0.0005274744859108949,0.0003102481767208731,0.5230577990862512,0.5239398848059703,0.5247287417253368,0.524635957623306,-0.0009748698217499907,0.9999455975060199,0.9998280046908123,0.531635713915646
EleutherAI/pythia-70m,1xL40S,Pythia,base,0.07,-0.00012523188511959216,0.00033396819042808,-0.0006423094555076947,-0.0005357559471066975,0.5306510915442655,0.530781832962945,0.5307763234293851,0.5304478647725169,-0.00045920007554767217,0.9999143413485403,0.9999208896560067,0.9737491000974033
EleutherAI/pythia-70m,A10G,Pythia,base,0.07,-0.00012390953314911357,0.00033044618849309426,-0.0006436243341659265,-0.0005348112374787273,0.5306500830697671,0.5307798028030452,0.5307739926029162,0.5304493566145521,-0.00045435572164220783,0.9999144422055813,0.9999213164797033,0.9732282114678615
HuggingFaceH4/zephyr-7b-beta,1xL40S,Other,base,7.0,-0.0011231552317848559,-5.243477494987214e-05,0.000749979253131472,0.00011096373541025217,0.539117517555797,0.5398963833754977,0.5402406727875818,0.5399488181504476,-0.0010707204568349837,0.999326443439788,0.9998263332164715,0.724983393968316
HuggingFaceH4/zephyr-7b-beta,A10G,Other,base,7.0,-0.0011281484965149913,-5.2924786212438235e-05,0.0007456969870406893,0.00010968786662163277,0.5391201332506914,0.5399030350563936,0.5402482817472064,0.539955959842606,-0.001075223710302553,0.99933238438953,0.9998259625780643,0.7230169776113673
Qwen/QwQ-32B,1xL40S,Qwen,base,32.0,0.0001063951973416799,0.0001700206209620525,0.0005663072654918389,-8.024752262492107e-05,0.5159913436783007,0.5157248508170933,0.515884948480959,0.5155548301961312,-6.36254236203726e-05,0.9980300666632702,0.9993275568700654,0.44902442977395574
Qwen/QwQ-32B,A10G,Qwen,base,32.0,0.00010662817746165398,0.00017076071671862092,0.0005662206493969868,-7.998536867676043e-05,0.5159959661775141,0.5157305164036876,0.5158893380000524,0.515559755686969,-6.413253925696694e-05,0.9980341714490507,0.9993307765424143,0.45173059812370375
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1xL40S,Qwen,base,14.0,0.0006903373653189826,0.00023181096099811338,0.0006001718405461154,-3.850387577380987e-05,0.5159278271349176,0.5154655407719927,0.5152374897695986,0.5152337298109946,0.0004585264043208692,0.9978835162019175,0.9993705853964241,0.42525197905611883
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,A10G,Qwen,base,14.0,0.0006892063722824249,0.0002314507387682907,0.0005993448635396303,-3.907618938547852e-05,0.5159312500268198,0.5154709396218415,0.5152420436545374,0.5152394888830732,0.0004577556335141342,0.9978881890481279,0.9993705740502564,0.42381009485525445
dphn/Dolphin-Mistral-24B-Venice-Edition,1xL40S,Mistral,instruct,24.0,-0.0006275054662976398,9.782443695693921e-05,0.0005700453396725869,0.00016547843380709804,0.5314643305397123,0.5319425446387027,0.53209183600601,0.5318447202017458,-0.000725329903254579,0.999334971300554,0.9997466744979172,0.7287647714170912
dphn/Dolphin-Mistral-24B-Venice-Edition,A10G,Mistral,instruct,24.0,-0.0006341437459946864,9.364169206427242e-05,0.0005700008901024511,0.00016639633922105324,0.5314539847256436,0.5319374463676466,0.5320881284716383,0.5318438046755823,-0.0007277854380589588,0.999339899063475,0.9997485295287674,0.7301169397695064
dphn/dolphin-2.9.1-yi-1.5-34b,1xL40S,Yi,base,34.0,0.0014216631889898412,0.0013411352356498263,0.000618851321628866,0.00015472637514435394,0.5377599836742746,0.5374776890768347,0.5363383204852847,0.5361365538411849,8.052795334001495e-05,0.9995279427609436,0.9995777717978425,0.7522404545164523
dphn/dolphin-2.9.1-yi-1.5-34b,A10G,Yi,base,34.0,0.0013985747871134713,0.0013173401886332758,0.0006172393774851459,0.0001435950932755503,0.5377690101401943,0.5374879623298295,0.5363704353530808,0.5361706221411963,8.123459848019543e-05,0.9995214900695687,0.9995758023116023,0.7448398465115331
lmsys/vicuna-7b-v1.5,1xL40S,Other,base,7.0,-0.0001761754866742571,0.0004489980395517845,0.00017089107285839233,0.00023187552982445458,0.5244236904907895,0.5246184472973118,0.5245998659774638,0.52416944925776,-0.0006251735262260416,0.9998396810831671,0.9991014672077186,0.5749531387961193
lmsys/vicuna-7b-v1.5,A10G,Other,base,7.0,-0.0001743986415349008,0.0004487336998642011,0.00017007837556959338,0.0002314835359559786,0.5244261350363218,0.5246191324651488,0.5246005336778568,0.5241703987652846,-0.0006231323413991019,0.999841058328882,0.9991033326194719,0.5729740212876111
microsoft/phi-2,1xL40S,Phi,base,2.7,0.00012573979104602007,0.00018932660824688696,0.000682277151904942,0.00022441507468146105,0.5073205426875603,0.507300378301372,0.5071948028965143,0.5071110516931251,-6.35868172008669e-05,0.9936055538934354,0.9982783683358086,0.9234683373251422
microsoft/phi-2,A10G,Phi,base,2.7,0.0001264104865718041,0.0001911346802689895,0.0006818029178218832,0.00022335479570712025,0.5073195305087814,0.5073001084474555,0.5071931200222096,0.5071089737671866,-6.47241936971854e-05,0.9936031194734195,0.9982766622430254,0.9233268528358596
microsoft/phi-4,1xL40S,Phi,base,14.0,-0.00053811500658274,3.7876383539470204e-05,0.00033280231625976153,4.655888228843885e-07,0.5272919292856337,0.5275901084893487,0.5278300442922165,0.5275522321058093,-0.0005759913901222102,0.9996222724010977,0.9998913460508606,0.49754953183056816
microsoft/phi-4,A10G,Phi,base,14.0,-0.0005398553554034624,3.885704138439916e-05,0.00033236643731487936,-2.0106421749765957e-08,0.5272916764859618,0.5275914228219901,0.5278315318413652,0.5275525657806057,-0.0005787123967878616,0.9996216838832054,0.9998909106153221,0.4960508099194731
mistralai/Mistral-7B-v0.1,1xL40S,Mistral,base,7.0,-0.0009699117551998926,8.644280433711682e-05,0.0008115670692801502,0.00011803722275965933,0.5390344645558255,0.5397585555055922,0.5400043763110254,0.539672112701255,-0.0010563545595370094,0.9992660477955859,0.9997954751269907,0.691605059745668
mistralai/Mistral-7B-v0.1,A10G,Mistral,base,7.0,-0.0009713706909665332,8.560282096825578e-05,0.000811703971455191,0.00011835640931556757,0.5390362879062855,0.539760718717383,0.5400076585972521,0.5396751158964147,-0.001056973511934789,0.9992660407582679,0.9997957348843513,0.6915764212675046
sshleifer/tiny-gpt2,1xL40S,Other,base,0.001,1.9486699647353056e-05,-0.00012747472437768526,4.206006420093278e-06,-2.6343595710465184e-05,0.601648040329466,0.6017342792007213,0.6016285536298186,0.601861753925099,0.0001469614240250383,0.9999999999999998,1.0,1.0
sshleifer/tiny-gpt2,A10G,Other,base,0.001,1.9485588629852835e-05,-0.00012747461543693994,4.205774575882781e-06,-2.6343573670539744e-05,0.6016480386925867,0.6017342793096621,0.6016285531039568,0.601861753925099,0.00014696020406679278,0.9999999999999998,1.0,1.0
stabilityai/StableBeluga-13B,1xL40S,StabilityAI,instruct,13.0,-0.00013327007087127196,0.00029667288013157656,0.00015415678304092628,1.4037251974630127e-05,0.5220335563246467,0.5222551445429751,0.5221668263955179,0.5219584716628435,-0.0004299429510028485,0.9995665870123915,0.9996370870979266,0.6196904628126542
stabilityai/StableBeluga-13B,A10G,StabilityAI,instruct,13.0,-0.00013302350360855364,0.0002964051090891262,0.00015407507173825774,1.388600638591031e-05,0.5220331564912051,0.5222547302636397,0.5221661799948136,0.5219583251545505,-0.00042942861269767985,0.9995658560253498,0.9996382690593396,0.6204691016970981
stabilityai/StableBeluga-7B,1xL40S,StabilityAI,instruct,7.0,-1.9217969044138528e-05,0.0006390347531413099,0.00010969178187303363,0.0001783225650056619,0.5255977288273482,0.5258406918077443,0.5256169467963924,0.525201657054603,-0.0006582527221854484,0.99984376936077,0.9989923891475427,0.31038350040330587
stabilityai/StableBeluga-7B,A10G,StabilityAI,instruct,7.0,-1.5003047010297976e-05,0.0006389418200423158,0.00011005637312005989,0.00017845722892673166,0.5256040102714374,0.5258446845649708,0.5256190133184477,0.5252057427449285,-0.0006539448670526138,0.999842588772625,0.9989926705635851,0.3134288215979017
